"adjxRank","adjxDif","Rank","Team","MP","W","D","L","G","GA","GD","PTS","adjxG","adjxGA","adjxGD","adjxPTS"
1,0,1,"Feyenoord",6,5,1,0,14,4,10,16,12.2,4.1,8.1,13.2
2,13,15,"SC Heerenveen",6,1,2,3,8,10,-2,5,13.2,6.5,6.7,12.2
3,-1,2,"PSV Eindhoven",6,4,1,1,19,10,9,13,14.6,8.5,6.1,11.7
4,-1,3,"Ajax",6,3,3,0,12,6,6,12,12.5,7.4,5.1,11.6
5,6,11,"FC Twente",6,2,1,3,9,8,1,7,10.7,7.6,3.1,10.2
6,1,7,"NEC Nijmegen",6,3,0,3,19,12,7,9,12.8,9.6,3.2,10.1
7,1,8,"Utrecht",6,3,0,3,11,5,6,9,9.5,7.4,2.1,9.6
8,-4,4,"FC Groningen",6,4,0,2,12,9,3,12,9.5,8.3,1.2,9.4
9,-4,5,"AZ Alkmaar",5,3,2,0,12,7,5,11,9,5.4,3.6,8.5
10,7,17,"Telstar",6,1,1,4,5,11,-6,4,8.5,9.6,-1.1,7.8
11,-2,9,"Go Ahead Eagles",6,2,3,1,11,9,2,9,9.4,10.8,-1.4,7.8
12,0,12,"NAC Breda",6,2,1,3,6,10,-4,7,7.3,12.5,-5.2,6.1
13,-7,6,"Fortuna Sittard",6,3,1,2,10,9,1,10,6.6,10.6,-4,5.9
14,0,14,"Excelsior",6,2,0,4,5,13,-8,6,7.7,12.2,-4.5,5.8
15,-5,10,"Sparta Rotterdam",6,3,0,3,8,16,-8,9,7.5,12.2,-4.7,5.6
16,-3,13,"PEC Zwolle",5,2,0,3,4,7,-3,6,5.7,8,-2.3,5.5
17,-1,16,"FC Volendam",6,0,4,2,7,11,-4,4,5.4,10.5,-5.1,4.8
18,0,18,"Heracles Almelo",6,0,0,6,3,18,-15,0,5.1,16.2,-11.1,2.7
